train_id,train_name,source_station,destination_station,scheduled_departure,scheduled_arrival,priority,train_type,passenger_count,average_speed_kmph,status
TR001,12711 Pinakini Express,BZA,OGL,06:00,07:45,HIGH,SUPERFAST,1250,75,ON_TIME
TR002,12712 Pinakini Express,OGL,BZA,16:15,18:10,HIGH,SUPERFAST,1210,72,ON_TIME
TR003,12727 Godavari Express,VSKP,BZA,05:15,11:30,HIGH,SUPERFAST,1400,68,DELAYED
TR004,12728 Godavari Express,BZA,VSKP,17:20,23:00,HIGH,SUPERFAST,1380,70,ON_TIME
TR005,17201 Golconda Express,GNT,KZJ,06:45,11:15,HIGH,EXPRESS,1100,55,ON_TIME
TR006,17202 Golconda Express,KZJ,GNT,12:30,17:20,HIGH,EXPRESS,1050,56,DELAYED
TR007,12704 Falaknuma Express,KZJ,VSKP,07:10,15:45,HIGH,SUPERFAST,1320,72,ON_TIME
TR008,12703 Falaknuma Express,VSKP,KZJ,09:30,18:15,HIGH,SUPERFAST,1290,71,ON_TIME
TR009,12713 Satavahana Express,BZA,KZJ,06:25,09:50,HIGH,SUPERFAST,1150,70,ON_TIME
TR010,12714 Satavahana Express,KZJ,BZA,16:15,19:40,HIGH,SUPERFAST,1180,69,ON_TIME
TR011,17212 Kondaveedu Express,MTM,GNT,07:00,09:30,MEDIUM,EXPRESS,850,50,ON_TIME
TR012,17225 Amaravati Express,GNT,BZA,08:15,09:05,MEDIUM,EXPRESS,920,48,DELAYED
TR013,07001 BZA-GNT MEMU,BZA,GNT,09:15,10:15,LOW,PASSENGER,650,40,ON_TIME
TR014,07002 GNT-BZA MEMU,GNT,BZA,10:45,11:45,LOW,PASSENGER,680,40,ON_TIME
TR015,07015 BZA-VSKP Passenger,BZA,VSKP,09:30,16:30,LOW,PASSENGER,780,42,DELAYED
TR016,07016 VSKP-BZA Passenger,VSKP,BZA,10:00,17:10,LOW,PASSENGER,740,41,ON_TIME
TR017,17240 Simhadri Express,BZA,VSKP,13:55,19:40,MEDIUM,EXPRESS,950,58,ON_TIME
TR018,17239 Simhadri Express,VSKP,BZA,07:20,13:10,MEDIUM,EXPRESS,970,57,ON_TIME
TR019,12795 BZA-LPI Intercity,BZA,KZJ,17:30,20:50,HIGH,SUPERFAST,1100,74,ON_TIME
TR020,12796 LPI-BZA Intercity,KZJ,BZA,08:10,11:30,HIGH,SUPERFAST,1120,73,DELAYED
TR021,F30101 Coal Rake Singareni,KZJ,BZA,09:00,13:30,LOW,FREIGHT,0,45,ON_TIME
TR022,F30102 Coal Rake Kondapalli,KKP,GNT,10:15,12:45,LOW,FREIGHT,0,42,DELAYED
TR023,F30103 Container Freight North,BZA,KZJ,11:00,15:15,MEDIUM,FREIGHT,0,50,ON_TIME
TR024,F30104 Container Freight East,BZA,VSKP,11:30,18:00,MEDIUM,FREIGHT,0,52,ON_TIME
TR025,F30105 Cement Rake Macherla,GNT,BZA,12:00,13:15,LOW,FREIGHT,0,38,ON_TIME
TR026,F30106 Grain Special Food,RJY,BZA,13:00,16:45,MEDIUM,FREIGHT,0,48,ON_TIME
TR027,F30107 Fertilizer Rake Kakinada,SLO,GNT,14:15,19:30,LOW,FREIGHT,0,40,DELAYED
TR028,F30108 Steel Special VSP,VSKP,BZA,14:45,21:15,HIGH,FREIGHT,0,55,ON_TIME
TR029,F30109 Petroleum Tanker,VSKP,KZJ,15:30,22:45,HIGH,FREIGHT,0,50,ON_TIME
TR030,F30110 Empty Freight Rake,OGL,BZA,16:00,18:30,LOW,FREIGHT,0,45,ON_TIME
TR031,20833 Vande Bharat Express,VSKP,BZA,05:45,09:50,HIGH,SUPERFAST,1120,85,ON_TIME
TR032,20834 Vande Bharat Express,BZA,VSKP,15:20,19:25,HIGH,SUPERFAST,1150,85,ON_TIME
TR033,12077 Jan Shatabdi Express,BZA,OGL,06:50,08:35,HIGH,SUPERFAST,980,78,ON_TIME
TR034,12078 Jan Shatabdi Express,OGL,BZA,18:00,19:50,HIGH,SUPERFAST,960,77,ON_TIME
TR035,12708 Andhra Pradesh Sampark Kranti,KZJ,BZA,10:15,13:40,HIGH,SUPERFAST,1250,72,DELAYED
TR036,12707 Andhra Pradesh Sampark Kranti,BZA,KZJ,16:05,19:25,HIGH,SUPERFAST,1230,73,ON_TIME
TR037,17256 Narasapur Express,NS,BZA,05:10,07:40,MEDIUM,EXPRESS,890,52,ON_TIME
TR038,17255 Narasapur Express,BZA,NS,19:10,21:40,MEDIUM,EXPRESS,870,53,ON_TIME
TR039,12738 Gowthami Express,KZJ,RJY,05:30,11:20,HIGH,SUPERFAST,1350,68,ON_TIME
